
# Surface 0 of 1 surfaces

# Curve title: "'TikzDaten/Verteilung.dat'"
# IsoCurve 0, 42 points
# x y z type
3.6765957e+01 2.6219512e+01 -1.0966813e-04 i
3.6765957e+01 2.7365854e+01 -8.3962826e-05 i
3.6765957e+01 2.8512195e+01 -7.1654408e-05 i
3.6765957e+01 2.9658537e+01 -7.3274338e-05 i
3.6765957e+01 3.0804878e+01 -8.2802258e-05 i
3.6765957e+01 3.1951220e+01 -8.9087520e-05 i
3.6765957e+01 3.3097561e+01 -8.2000866e-05 i
3.6765957e+01 3.4243902e+01 -6.5883587e-05 i
3.6765957e+01 3.5390244e+01 -5.2380116e-05 i
3.6765957e+01 3.6536585e+01 -4.7521992e-05 i
3.6765957e+01 3.7682927e+01 -5.1588251e-05 i
3.6765957e+01 3.8829268e+01 -6.0280299e-05 i
3.6765957e+01 3.9975610e+01 -6.5532017e-05 i
3.6765957e+01 4.1121951e+01 -6.4033634e-05 i
3.6765957e+01 4.2268293e+01 -2.2429316e-05 i
3.6765957e+01 4.3414634e+01 -2.1420671e-04 i
3.6765957e+01 4.4560976e+01 8.0343271e-04 i
3.6765957e+01 4.5707317e+01 -3.3380697e-03 i
3.6765957e+01 4.6853659e+01 7.4124876e-03 i
3.6765957e+01 4.8000000e+01 4.7147205e-03 i

# IsoCurve 7, 42 points
# x y z type
3.5893617e+01 1.0000000e+00 -3.6427766e+01 i
3.5893617e+01 2.1463415e+00 -3.9700048e+01 i
3.5893617e+01 3.2926829e+00 5.8731115e-01 i
3.5893617e+01 4.4390244e+00 1.6074082e+01 i
3.5893617e+01 5.5853659e+00 4.7792260e+01 i
3.5893617e+01 6.7317073e+00 2.6886189e+01 i
3.5893617e+01 7.8780488e+00 -5.1228453e+00 i
3.5893617e+01 9.0243902e+00 1.4064300e-01 i
3.5893617e+01 1.0170732e+01 2.7088981e-01 i
3.5893617e+01 1.1317073e+01 -7.5578980e-02 i
3.5893617e+01 1.2463415e+01 2.1677944e-02 i
3.5893617e+01 1.3609756e+01 -4.2509959e-03 i
3.5893617e+01 1.4756098e+01 7.8932518e-04 i
3.5893617e+01 1.5902439e+01 3.9387812e-05 i
3.5893617e+01 1.7048780e+01 6.6339410e-05 i
3.5893617e+01 1.8195122e+01 3.4052068e-05 i
3.5893617e+01 1.9341463e+01 1.1643225e-05 i
3.5893617e+01 2.0487805e+01 3.7606428e-06 i
3.5893617e+01 2.1634146e+01 5.8445465e-06 i
3.5893617e+01 2.2780488e+01 1.2879778e-05 i
3.5893617e+01 2.3926829e+01 1.9864225e-05 i
3.5893617e+01 2.5073171e+01 1.8430601e-05 i
3.5893617e+01 2.6219512e+01 1.0390822e-05 i
3.5893617e+01 2.7365854e+01 4.0334118e-06 i
3.5893617e+01 2.8512195e+01 1.8677321e-06 i
3.5893617e+01 2.9658537e+01 3.7308289e-06 i
3.5893617e+01 3.0804878e+01 8.2116881e-06 i
3.5893617e+01 3.1951220e+01 1.2100156e-05 i
3.5893617e+01 3.3097561e+01 1.0420695e-05 i
3.5893617e+01 3.4243902e+01 5.4593203e-06 i
3.5893617e+01 3.5390244e+01 1.6814335e-06 i
3.5893617e+01 3.6536585e+01 6.7465800e-07 i
3.5893617e+01 3.7682927e+01 2.4308850e-06 i
3.5893617e+01 3.8829268e+01 6.2090577e-06 i
3.5893617e+01 3.9975610e+01 8.8915159e-06 i
3.5893617e+01 4.1121951e+01 3.9754583e-06 i
3.5893617e+01 4.2268293e+01 3.5534628e-05 i
3.5893617e+01 4.3414634e+01 -2.0101245e-04 i
3.5893617e+01 4.4560976e+01 1.0307218e-03 i
3.5893617e+01 4.5707317e+01 -4.2248025e-03 i
3.5893617e+01 4.6853659e+01 1.1842066e-02 i
3.5893617e+01 4.8000000e+01 1.9659892e-03 i

# IsoCurve 8, 42 points
# x y z type
3.5021277e+01 1.0000000e+00 -2.3264603e+00 i
3.5021277e+01 2.1463415e+00 -1.8542496e+01 i
3.5021277e+01 3.2926829e+00 1.2239913e+02 i
3.5021277e+01 4.4390244e+00 2.0135443e+02 i
3.5021277e+01 5.5853659e+00 3.5971813e+02 i
3.5021277e+01 6.7317073e+00 1.6008011e+02 i
3.5021277e+01 7.8780488e+00 -1.5350637e+01 i
3.5021277e+01 9.0243902e+00 -5.1013122e-01 i
3.5021277e+01 1.0170732e+01 5.9198433e-01 i
3.5021277e+01 1.1317073e+01 -1.6439744e-01 i
3.5021277e+01 1.2463415e+01 4.1014509e-02 i
3.5021277e+01 1.3609756e+01 -7.1984560e-03 i
3.5021277e+01 1.4756098e+01 6.7650676e-04 i
3.5021277e+01 1.5902439e+01 -2.1103071e-05 i
3.5021277e+01 1.7048780e+01 2.2472120e-05 i
3.5021277e+01 1.8195122e+01 4.8725623e-06 i
3.5021277e+01 1.9341463e+01 1.1465661e-05 i
3.5021277e+01 2.0487805e+01 8.1526569e-06 i
3.5021277e+01 2.1634146e+01 7.3104163e-06 i
3.5021277e+01 2.2780488e+01 4.6577369e-06 i
3.5021277e+01 2.3926829e+01 2.0889628e-06 i
3.5021277e+01 2.5073171e+01 1.8255512e-06 i
3.5021277e+01 2.6219512e+01 3.3625596e-06 i
3.5021277e+01 2.7365854e+01 4.3912857e-06 i
3.5021277e+01 2.8512195e+01 4.5210554e-06 i
3.5021277e+01 2.9658537e+01 3.7818786e-06 i
3.5021277e+01 3.0804878e+01 2.4180859e-06 i
3.5021277e+01 3.1951220e+01 1.0338190e-06 i
3.5021277e+01 3.3097561e+01 1.2909358e-06 i
3.5021277e+01 3.4243902e+01 2.5289883e-06 i
3.5021277e+01 3.5390244e+01 3.5777471e-06 i
3.5021277e+01 3.6536585e+01 3.9913775e-06 i
3.5021277e+01 3.7682927e+01 3.1910921e-06 i
3.5021277e+01 3.8829268e+01 1.8818752e-06 i
3.5021277e+01 3.9975610e+01 4.2626345e-07 i
3.5021277e+01 4.1121951e+01 -2.5607618e-06 i
3.5021277e+01 4.2268293e+01 3.9179857e-05 i
3.5021277e+01 4.3414634e+01 -2.3686040e-04 i
3.5021277e+01 4.4560976e+01 1.2335474e-03 i
3.5021277e+01 4.5707317e+01 -5.1574950e-03 i
3.5021277e+01 4.6853659e+01 1.5517015e-02 i
3.5021277e+01 4.8000000e+01 9.6529337e-05 i

# IsoCurve 9, 42 points
# x y z type
3.4148936e+01 1.0000000e+00 4.2574657e+00 i
3.4148936e+01 2.1463415e+00 -2.6774906e+01 i
3.4148936e+01 3.2926829e+00 3.0306634e+02 i
3.4148936e+01 4.4390244e+00 6.1736540e+02 i
3.4148936e+01 5.5853659e+00 6.3399077e+02 i
3.4148936e+01 6.7317073e+00 2.6459420e+02 i
3.4148936e+01 7.8780488e+00 -2.9551186e+01 i
3.4148936e+01 9.0243902e+00 -1.0830891e+00 i
3.4148936e+01 1.0170732e+01 2.0390475e-01 i
3.4148936e+01 1.1317073e+01 -3.2506204e-01 i
3.4148936e+01 1.2463415e+01 4.7913350e-02 i
3.4148936e+01 1.3609756e+01 -2.2922405e-03 i
3.4148936e+01 1.4756098e+01 -1.5540652e-03 i
3.4148936e+01 1.5902439e+01 -4.6670984e-04 i
3.4148936e+01 1.7048780e+01 -3.0710243e-04 i
3.4148936e+01 1.8195122e+01 -1.1616388e-04 i
3.4148936e+01 1.9341463e+01 -1.0849994e-05 i
3.4148936e+01 2.0487805e+01 -7.7467881e-06 i
3.4148936e+01 2.1634146e+01 -4.4278532e-06 i
3.4148936e+01 2.2780488e+01 -4.0289773e-06 i
3.4148936e+01 2.3926829e+01 -3.3213434e-06 i
3.4148936e+01 2.5073171e+01 -3.3149704e-06 i
3.4148936e+01 2.6219512e+01 -3.3743864e-06 i
3.4148936e+01 2.7365854e+01 -3.1737166e-06 i
3.4148936e+01 2.8512195e+01 -2.8480618e-06 i
3.4148936e+01 2.9658537e+01 -2.4736328e-06 i
3.4148936e+01 3.0804878e+01 -2.0215876e-06 i
3.4148936e+01 3.1951220e+01 -1.5914002e-06 i
3.4148936e+01 3.3097561e+01 -1.1638267e-06 i
3.4148936e+01 3.4243902e+01 -6.8254553e-07 i
3.4148936e+01 3.5390244e+01 -2.0982012e-07 i
3.4148936e+01 3.6536585e+01 4.4680212e-07 i
3.4148936e+01 3.7682927e+01 1.4195876e-06 i
3.4148936e+01 3.8829268e+01 2.2948941e-06 i
3.4148936e+01 3.9975610e+01 1.4078510e-06 i
3.4148936e+01 4.1121951e+01 -4.7692171e-06 i
3.4148936e+01 4.2268293e+01 4.4135323e-05 i
3.4148936e+01 4.3414634e+01 -2.8563407e-04 i
3.4148936e+01 4.4560976e+01 1.4375022e-03 i
3.4148936e+01 4.5707317e+01 -5.8601376e-03 i
3.4148936e+01 4.6853659e+01 1.5957731e-02 i
3.4148936e+01 4.8000000e+01 3.3865487e-03 i

# IsoCurve 10, 42 points
# x y z type
3.3276596e+01 1.0000000e+00 1.3642940e-02 i
3.3276596e+01 2.1463415e+00 -3.3421423e+01 i
3.3276596e+01 3.2926829e+00 2.8105678e+02 i
3.3276596e+01 4.4390244e+00 1.2809817e+03 i
3.3276596e+01 5.5853659e+00 1.6589574e+03 i
3.3276596e+01 6.7317073e+00 4.0198876e+02 i
3.3276596e+01 7.8780488e+00 -3.6124442e+01 i
3.3276596e+01 9.0243902e+00 1.0144431e+01 i
3.3276596e+01 1.0170732e+01 3.5659368e+00 i
3.3276596e+01 1.1317073e+01 2.4895582e-02 i
3.3276596e+01 1.2463415e+01 -1.1589224e-01 i
3.3276596e+01 1.3609756e+01 4.6686356e-02 i
3.3276596e+01 1.4756098e+01 -2.9547114e-03 i
3.3276596e+01 1.5902439e+01 5.1105702e-03 i
3.3276596e+01 1.7048780e+01 1.8709877e-03 i
3.3276596e+01 1.8195122e+01 3.6760549e-04 i
3.3276596e+01 1.9341463e+01 5.9202123e-05 i
3.3276596e+01 2.0487805e+01 6.9087759e-06 i
3.3276596e+01 2.1634146e+01 9.0580022e-06 i
3.3276596e+01 2.2780488e+01 5.0530036e-06 i
3.3276596e+01 2.3926829e+01 4.2175097e-06 i
3.3276596e+01 2.5073171e+01 5.7980735e-06 i
3.3276596e+01 2.6219512e+01 7.4339834e-06 i
3.3276596e+01 2.7365854e+01 7.0492854e-06 i
3.3276596e+01 2.8512195e+01 5.0363579e-06 i
3.3276596e+01 2.9658537e+01 3.0813369e-06 i
3.3276596e+01 3.0804878e+01 1.8696517e-06 i
3.3276596e+01 3.1951220e+01 8.8822372e-07 i
3.3276596e+01 3.3097561e+01 -1.3885881e-06 i
3.3276596e+01 3.4243902e+01 -7.0608234e-06 i
3.3276596e+01 3.5390244e+01 -1.6324265e-05 i
3.3276596e+01 3.6536585e+01 -2.5671893e-05 i
3.3276596e+01 3.7682927e+01 -2.9766383e-05 i
3.3276596e+01 3.8829268e+01 -2.4835597e-05 i
3.3276596e+01 3.9975610e+01 -1.4355534e-05 i
3.3276596e+01 4.1121951e+01 -1.3156638e-05 i
3.3276596e+01 4.2268293e+01 5.2471695e-05 i
3.3276596e+01 4.3414634e+01 -3.4257445e-04 i
